"Sort order","Sortierreihenfolge"
"Pay within X days","Zahlbar innerhalb von X Tagen"
"Payment from Specific countries","Bezahlung aus bestimmten Ländern"
"Payment from applicable countries","Bezahlung aus den entsprechenden Ländern"
"<a target='_blank' href='%s'>Here</a> you can read details to the payment method!","Einzelheiten der Zahlungsart finden Sie <a target='_blank' href='%s'>hier</a>."
"Bank Prepayment","Vorkasse"
"Please transfer the money within %s days to the following bank account","Bitte überweisen Sie den Gesamtbetrag innerhalb %s Tagen auf das folgende Bankkonto."
"Please transfer the money to the following bank account","Bitte überweisen Sie den Gesamtbetrag innerhalb %s Tagen auf das folgende Bankkonto."
"Account holder","Kontoinhaber"
"Account number","Kontonummer"
"Sort code","Bankleitzahl"
"Bank name","Bankname"
"For international transfers please use also following data","For international transfers please use also following data"
"IBAN","IBAN"
"BIC","BIC"
"Account info","Bankverbindung"
"International","International"
"Custom text","Zusatztext"
"Pending Bank Payment","Ausstehende Überweisung"
"Pay within %s days.","Innerhalb von %s Tagen zu zahlen."
"Your order is complete.<br/>If your order contains downloads, so you can now download these.","Ihre Bestellung ist vollständig.<br/><strong>Falls Ihre Bestellung Downloads enthält, so können Sie diese nun in ihrem Kundenkonto unter 'Meine Downloadprodukte' herunterladen.</strong>"
"We received your payment and your order will now prepared for delivery.<br/>If your order contains downloads, so you can now download these.","Ihre Zahlung ist eingegangen und Ihre Bestellung wird nun für den Versand vorbereitet.<br/><strong>Falls Ihre Bestellung Downloads enthält, so können Sie diese nun in ihrem Kundenkonto unter 'Meine Downloadprodukte' herunterladen.</strong>"
"If empty or disabled, value from imprint will be used.","Falls Feld leer, wird Wert aus Impressum genutzt."

"Capture action is not available","Erfassen nicht möglich"
"Enabled","Aktiviert"
"Invoice isn't paid yet","Rechnung ist noch nicht bezahlt"
"Title","Titel"
"New order status","Neuer Auftragsstatus"

"TEXT_PROCESS_ERROR","Unbekannter Fehler aufgetreten. Der Zahlungsvorgang konnte nicht durchgeführt werden. Wenden Sie sich bitte an unseren Service: %s"
"TEXT_PROCESS_ERROR_STANDARD","Abwicklung fehlgeschlagen - der Zahlungsvorgang konnte nicht durchgeführt werden. Wenden Sie sich bitte an unseren Service: %s"
"TEXT_PROCESS_ERROR_-999989","Abwicklung auf Grund eines technischen Problems fehlgeschlagen - versuchen Sie es in ein paar Minuten noch einmal. Falls die Abwicklung weiterhin fehlschlägt, wenden Sie sich bitte an unseren Service: %s"

"TEXT_PROCESS_ERROR_-0201", "Bitte prüfen Sie Ihre Adressangaben."
"TEXT_PROCESS_ERROR_-0202", "Bitte prüfen Sie Ihre Adressangaben. Die Postleitzahl ist nicht gültig. Sie muss fünfstellig und nummerisch sowie größer als 00000 sein."
"TEXT_PROCESS_ERROR_-0214", "Bitte prüfen Sie Ihre Adressangaben"
"TEXT_PROCESS_ERROR_-0401", "Bankkontofehler: Die von Ihnen eingegebene Bankverbindung ist nicht korrekt."
"TEXT_PROCESS_ERROR_-0402", "Bankkontofehler: Die von Ihnen eingegebene BLZ ist ungültig."
"TEXT_PROCESS_ERROR_-0403", "Bankkontofehler: Die angegebene Kontonummer ist nicht korrekt."
"TEXT_PROCESS_ERROR_-0406", "Bankverbindung Fehler: Ihre Bankverbindung ist gesperrt. Bitte versuchen Sie ein anderes Zahlverfahren oder wenden sich an unseren Service: %s"
"TEXT_PROCESS_ERROR_-0410", "Bankverbindung Fehler: Ihre Bankverbindung konnte nicht validiert werden. Bitte versuchen Sie ein anderes Zahlverfahren oder wenden sich an unseren Service: %s"
"TEXT_PROCESS_ERROR_-0415", "Benutzen Sie bitte das Lastschriftverfahren mit schriftlicher Einzugsermächtigung"
"TEXT_PROCESS_ERROR_-0420", "Bankkontofehler: Die von Ihnen eingegebene Bankverbindung ist nicht korrekt."
"TEXT_PROCESS_ERROR_-0510","Der Mindestbetrag für dieses Zahlverfahren wurde nicht erreicht."
"TEXT_PROCESS_ERROR_-0511","Der Maximalbetrag für dieses Zahlverfahren wurde überschritten."
